%Master_Degree,Incidents_per_100k
7.55,0.09471023532652172
9.48,0.09467025403815969
9.73,0.09388542973238896
8.26,0.09108141694996023
6.65,0.09063190147768518
13.28,0.0906013756912885
8.19,0.09058049780143015
6.95,0.09039360085620819
8.79,0.09011844266920013
7.29,0.08966092926380308
7.44,0.08951746060448455
10.25,0.08876205664525633
8.09,0.08870371495593421
7.91,0.08869801951119902
8.82,0.0884798144047413
7.48,0.08787262569996038
11.87,0.0868246087335832
8.49,0.08629468734428003
8.23,0.08554728275310318
6.87,0.08545592015240108
12.95,0.08414469858948243
15.71,0.08407870271045916
13.59,0.08273111972433991
6.33,0.08232182110686216
13.07,0.08175271275939114
13.99,0.08163112039529054
13.54,0.08031485257979337
8.63,0.08030265266763906
8.59,0.08003269335523562
7.68,0.078676240778407
8.58,0.07822138952945688
8.24,0.07820314816157302
8.69,0.07604942261852422
11.15,0.07596748773846765
12.13,0.0753941227768158
7.23,0.07518293888604446
8.72,0.07485551015153001
7.56,0.07419289786012137
12.77,0.0735897770259192
14.27,0.07254258721396277
10.94,0.0721950638429974
12.09,0.07199465511680413
11.99,0.07132392903554356
7.92,0.07126293600445821
7.98,0.06983976011997912
9.16,0.06967971024389293
9.34,0.06914931134200834
8.11,0.06897464691239592
7.51,0.06880456201768002
9.14,0.0687160920443807
8.18,0.0686934249538758
9.38,0.06869287757898822
9.67,0.06815280677111767
8.17,0.06813700482770146
10.14,0.06801455647537687
7.46,0.06796012915142945
5.32,0.06742249531329379
5.5,0.06715456698063665
10.35,0.06712779734117982
5.73,0.066837480988914
5.86,0.06671027294841728
11.84,0.06652267407435873
10.78,0.06583536186431971
11.52,0.06549316682081911
6.01,0.06402255642708038
6.77,0.06357863134916081
7.78,0.06248990397488906
7.1,0.06188768957018417
7.33,0.06037520776618373
11.46,0.059644568473336435
6.93,0.05935387813417226
12.78,0.059299600557890644
10.13,0.0585183048183387
7.76,0.05771113872589099
14.93,0.05726784011334451
10.11,0.05708393021717867
7.16,0.056086539286657744
13.07,0.0559806195095258
12.47,0.05573850170448338
12.16,0.05569656068168134
13.74,0.055469316177043634
10.65,0.05497955310420055
6.1,0.05461192221951589
8.75,0.05379616203834375
8.85,0.05346469966472287
7.48,0.05260602349490222
10.19,0.052528643541018896
7.79,0.05226144869781019
6.77,0.051981022768207784
8.21,0.05169540241769058
5.76,0.05157229752780455
7.67,0.051524843390238516
8.57,0.0509244830655724
7.43,0.05089768242492847
8.16,0.05037480111398835
6.83,0.05016757223315178
9.4,0.049863722446553564
8.34,0.0496403925860088
8.68,0.04885836326925966
8.04,0.04794847648510816
9.73,0.04726172646141529
9.87,0.0472438192092424
12.57,0.0469611167823182
11.95,0.04626402333228348
6.78,0.04507576560060979
13.31,0.04404135835880759
14.86,0.04296779105737145
8.58,0.04248371103712652
6.18,0.04124241113858543
9.65,0.040509102192717195
10.05,0.039811077857065225
9.91,0.03956539262585488
10.42,0.037342233730268834
8.06,0.03664901222666021
11.03,0.035668718925857934
9.11,0.03546330682569359
6.91,0.034736913041696106
7.34,0.03460980644638793
5.7,0.03459196186582124
7.61,0.0345096344860299
8.35,0.03434489348103011
8.6,0.03223900190629218
8.57,0.03163450755352954
13.45,0.03157611881293581
7.42,0.03118175094262433
7.71,0.03085002936922796
7.23,0.030169055318382085
9.31,0.029958283090796064
8.04,0.027887600698640172
12.08,0.02780344189928648
14.42,0.027645876230517948
6.11,0.02548705117621467
6.25,0.025439699770839184
9.33,0.023709396768930826
12.04,0.016732461494004675
7.4,0.014855565280998961
13.65,0.01457764410402082
14.1,0.014488241270943298
8.91,0.013946318666966233
